0,1,2,3,4,5,6,7,8
IFITM1,CD63,YWHAQ,ZFP36L1,HNRNPA3,CPPED1,ASCL2,SERBP1,ESAM
ST13,GLIPR2,ALOX5AP,ADK,HNRNPDL,TNFSF13B,EVL,C19orf10,SCGB1C1
SNRPD2,CLTA,ISG20,EEF1A1,RAC2,SERF2,JAK1,GDI2,ALOX12
TRABD2A,HCK,OPTN,ITM2C,MT-CO2,RGS19,SDF4,RBM17,HIST1H2BJ
LINC00176,S100A12,RPL37,TMEM243,GYG1,H3F3A,SELL,LAMTOR1,DMTN
FYB,COX6B1,OCIAD2,RPL23,OPTN,SH3BGRL,RBM39,TMED10,EIF4G2
LAT,SLC25A5,TCF7,UCP2,AC092580.4,LYST,ARPC5,SNRPC,SNAP23
RPL41,GSTO1,SUSD3,CIRBP,TMED4,ATG3,POLR2G,ATP5J,WBP2
CD2,ARPC2,CRIP1,RPL34,IER2,UNC119,TBCB,DCXR,B2M
COX7C,RAB32,MZT2A,RPS6,SPOCK2,POU2F2,TMED9,PQBP1,SENCR
PPA1,PGD,USP10,TSPAN3,RASSF1,TUBA1B,TRAPPC1,PHB,TPTEP1
TRAF3IP3,C4orf48,RPL18A,C16orf74,PPIB,GMFG,OSTF1,GSTO1,FHL1
SUSD3,CD33,SNRPD2,TLR10,GIMAP5,COX5B,ACTR3,PSMB6,P2RX1
CCDC109B,CTSZ,BTG1,RPL27A,TERF2IP,LSP1,GIMAP7,CAT,PNMA1
NELL2,ANXA5,SOCS3,PARP1,CORO1A,RNF130,TBC1D10C,SERPINF1,TMEM91
MYC,NCF1,HMGN1,BLOC1S2,PTPN4,FCGR2A,ITGB7,KLF4,SLC40A1
NUCB2,IL8,MYL12B,ANAPC16,CAPN2,LGALS9,CAPZB,NAA10,HIST2H2BE
CYTIP,SCO2,RHOH,IFT57,SRSF3,IFI6,HSP90B1,COX16,AP2M1
MT-ND4,BRK1,GTF3A,RPL32,RPA2,SERP1,CMC1,PKM,TRAPPC1
BTF3,EIF4EBP1,RPS19,BTK,C9orf16,LAMTOR4,CD160,SPI1,FKBP8
CD8B,C19orf38,NDFIP1,MT-CO3,ADRB2,VMP1,FBXO6,UQCRFS1,XPNPEP1
CD6,FGL2,CD247,POU2F2,TMEM109,PSME2,GHITM,PGLS,CYB5R1
TMA7,FAM26F,PRKCQ-AS1,AC079767.4,FKBP11,SLC11A1,KLRC1,FCER1G,SWI5
EIF3E,IFNGR2,RPS4Y1,IL4R,EVL,ATP1B3,TAP1,NDUFS3,TGFB1
STK17A,NDUFA11,PPP1R2,LYL1,CMPK1,PPP1CA,TMEM50A,UQCRH,SQSTM1
ACTN1,H3F3A,LIMS1,RNASEH2B,DNAJB1,PSMB9,ABHD17A,PHACTR1,RIOK3
FAU,BST2,RPL7,ERP29,RNF167,IFNGR2,BTN3A2,UQCRC1,BRK1
EPHX2,WDR83OS,COX7C,MZB1,ITGB2,ARPC5,RAMP1,VPS29,DAP
MYL12A,MPEG1,COX6C,CCDC50,KRTCAP2,GSTO1,FAM49B,NDUFC2,TAX1BP3
UXT,BID,SEPT1,DRAM2,BUB3,PSMB3,HSP90AA1,ADRM1,HIST1H1C
RPS24,NOP10,CD7,REL,JUN,ADRBK1,CIRBP,COX6A1,AP2S1
SOCS3,ATP5D,HLA-E,PPP1R14A,CMC1,CXCL16,SLC9A3R1,PDCD6,RABGAP1L
NAP1L1,GCA,PIM1,SP100,RPL17,H2AFZ,SUMO2,TOMM22,SKP1
UBA52,H3F3B,ICAM2,SPINT2,GIMAP1,ADA,ATP6AP2,PSMB4,PYCR2
STMN3,LGALS9,BIRC3,NBEAL1,VAMP2,SLC25A5,RAB7A,NHP2,C9orf89
SELM,SLC25A6,NDUFS5,GPR18,RASSF5,MPEG1,TMEM59,LGALS2,TUBA1B
RPS11,SAT2,CD44,PTPN6,PTGER2,HIGD2A,FASLG,PPM1G,RBX1
PSIP1,PKM,LDHA,PLD4,PLA2G16,SUPT4H1,MSN,CALM2,USF2
SPOCK2,PILRA,CXCR4,NT5C,CD160,S100A10,GSTP1,SRM,GLUL
CD40LG,JUND,TUBA4A,FAM129C,GADD45B,COX6B1,MRPS6,MX1,ETFA
CITED2,IL1B,PPA1,AFF3,SKAP1,PTP4A2,SCP2,EIF4EBP1,ABTB1
BCL11B,GNAI2,CCNL1,SP110,BIN1,CAMK1,ENO1,FABP5,MAGED2
SCGB3A1,RNASE6,SKP1,HNRNPA2B1,CCDC107,SPN,CHCHD2,AIF1,TLN1
CAMK4,EMP3,RAN,RPS20,OCIAD2,PGK1,CHST2,ACAT1,PVALB
MGAT4A,PFN1,DDX24,FCRL2,S100A4,POLD4,CD97,TRMT112,RP11-879F14.2
RARRES3,TMEM176B,RWDD1,SMARCB1,HMGB1,KLF4,FGR,NDUFV1,ARHGAP6
PIM2,DYNLT1,MZT2B,RPL10,YWHAB,MSN,LIMD2,IGSF6,PDZK1IP1
ARHGAP15,ITGB2,CRIP2,RPL3,SNRPB,NFKBIZ,PSMC4,PGAM1,FSTL1
RP11-51J9.5,COX4I1,SRSF5,SEL1L3,MEAF6,ZNF706,STK17A,CCDC50,STXBP2
AQP3,CSTB,HNRNPF,TCF4,ODF2L,MS4A4A,LCP1,RGS10,CTTN
RCAN3,TBXAS1,TNFAIP3,RP11-693J15.5,ALOX5AP,FAM110A,HLA-F,GTF2A2,C19orf33
TMEM204,SUPT4H1,SLC2A3,HLA-DQB2,BTN3A2,GLRX,DSTN,RPS2,ANKRD9
BEX2,NDUFS7,HNRNPA0,IGJ,TMEM59,GPBAR1,FLNA,LCP1,UQCRH
CUTA,RHOA,LDLRAP1,GUCD1,PSMB8,LYL1,PSMD8,IDH2,SCFD2
CCNI,EFHD2,RCAN3,KIAA0226L,CAP1,CKB,CDC42SE1,ARPC3,FAM63A
ITM2A,CYBB,CUTA,TMEM154,GIMAP6,MYO1G,GNG2,APH1A,HMGN1
RP11-291B21.2,COX8A,DDIT4,MBD4,TMEM50A,CLIC1,DDX5,MYEOV2,HIST1H2BD
MZT2B,UBA52,CCDC104,CDCA7L,SKP1,ZFAND5,CD38,EIF4E2,FAH
ANXA2R,ATP5E,CDC42SE2,C15orf57,CALR,SLC25A6,SRI,TOP1,KIAA0513
C14orf64,MAFB,PSIP1,YBX3,RPL27A,LRRFIP1,IRF1,MAP4K1,GMPR
RP11-664D1.1,SOD2,NDUFA4,CD82,TXNIP,COX8A,LYAR,CCT3,PAIP2
RPL39,POLR2L,UBE2D2,HNRNPDL,GTF3A,CAP1,HMGB1,ATP5G1,DAAM1
APBA2,MT2A,RPL41,DCK,MFSD10,RAB8A,SYTL1,SNRPG,SVIP
CD5,TNFAIP2,SEPT9,BCAS4,XCL2,UBE2L6,MBP,SHFM1,MGLL
CMPK1,SLC11A1,TSTD1,EZR,DGKZ,TUBA1A,KLRB1,SEMA4A,CD27-AS1
FOS,UQCR11-1,MGAT4A,PAPOLA,SPSB3,SNX3,C11orf58,SDHB,ABHD16A
TNRC6C,HIGD2A,SBDS,FAM65B,ORMDL3,CAPZB,DEF6,LSM2,TMEM140
SNHG8,BNIP3L,XRCC6,STK17A,DNAJC1,CD300LF,PYHIN1,VASP,H1F0
ADTRP,LAMTOR2,SELL,ZCCHC7,MIB2,ATP5B,SH2D2A,ISG15,MAP1LC3B
VAMP2,SAMHD1,ATP5A1,SCPEP1,TMED9,SEC11A,PSMA5,MRPL9,APP
PNISR,ARRB2,CCR7,HMGB1,TSEN54,C20orf27,KLRG1,TUBB,TMEM219
EEF1G,C5AR1,RPL26,BCL7A,PCSK7,THEMIS2,LSP1,CFP,PYGL
FOXP1,C11orf31,RPL34,RPS29,LINC00152,EIF4A1,PRKCH,CANX,PACSIN2
RIC3,FCGR1A,COMMD6,RASGRP2,TAP1,ARHGDIB,TMBIM6,TIMM13,ATP6V1E1
EIF3H,FCGR2A,CYLD,HERPUD1,TBX21,TPPP3,S100B,SNRPF,FTL
MZT2A,VSTM1,RORA,LCN8,PBXIP1,ATP6V0D1,PTGER2,COX6B1,ITGB1
PCNP,QPCT,SRSF7,KIAA0040,RAB27A,RNF149,TXK,LINC00493,TACC3
PSMD5-AS1,CD36,CCND3,RPS15A,CKLF,CAPZA2,MAP1LC3B,NDUFS4,SLC39A3
EIF3F,CPPED1,C9orf78,RHOH,IL10RA,TCEB2,ARHGDIB,PSMD7,ATP2A3
TSHZ2,EIF1,KHDRBS1,RPL7,RUNX3,TCIRG1,CISD3,C1orf43,UBB
PASK,RHOB,TCEAL8,PPM1K,ETS1,TALDO1,MIB2,DUT,PRDX5
RP11-18H21.1,TIMM13,SVIP,TAF7,CD63,CYBB,CYB5B,ATP5O,SPNS1
CHURC1,MIR24-2,C12orf57,ALOX5,DENND2D,H2AFY,KIR3DL2,ETFA,CAMTA1
GIMAP4,ATP6V0D1,VAMP2,LYN,GPR56,SMCO4,CDC42,HLA-DQB2,RAB32
SEPT1,TMEM205,TECR,RPLP1,WIPF1,GNAI2,HSH2D,CEBPD,SECISBP2
ITK,EIF3K,RGL4,ODC1,OST4,GRN,BAX,PSMD8,PRKAR1A
AIMP1,RP11-290F20.3,UBB,RPS4X,ABHD17A,BRK1,P4HB,ACAA1,CAPZA2
MT-CYB,DUSP1,CMPK1,CD200,RAB7L1,AP2A1,TSEN54,IFI30,G6PD
SATB1,UQCRFS1,YWHAZ,RPL31,MT-ND5,LINC00936,LPCAT1,AKIRIN2,UBXN11
LINC00861,COMT,RGS10,RP5-887A10.1,PEBP1,DUSP6,FDPS,NT5C,COTL1
ATP6V0E2,TNFSF10,DEGS1,OPN3,DSTN,SYNGR2,SPCS2,SNX3,CCND3
SBDS,YBX1,OST4,ZNF92,TMCO1,CPVL,GCHFR,PRDX6,TMED3
TOMM20,PSMB3,ACTG1,LSM7,CLIC3,COX17,NDUFB7,NDUFS6,DIAPH1
IL2RG,CASP1,BTG2,RBM23,PLEKHF1,CD300E,CCDC28B,UFD1L,TMBIM1
